"SysExp","Processeur","RefProcesseur","Mémoire","Disque Dur","Carte Graphique","Réf Carte graphique","Taille Ecran","NomDuProduit","Prix","ImageDuProduit","Fabricant","NomDuFabricant"
"Windows 10","Intel Core i5","Intel Core i5-11300H 11è Génération, 3.10 GHz up to 4.4 GHz, 8 Mo de mémoire cache","32 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050, 4 Go de mémoire dédiée","15.6""","Pc portable HP Pavilion Gaming 15-ec2002nk ",2987,"https://www.tunisianet.com.tn/235728-large/pc-portable-hp-pavilion-gaming-15-ec2002nk-ryzen-5-5600h-32-go-rtx-3050-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","AMD Ryzen 5","Processeur AMD Ryzen 5-5600H , up to 4.2 GHz , 16 Mo de mémoire cache","16 Go","512 Go SSD","Nvidia GeForce","Nvidia Geforce MX350, 2 Go de Mémoire Dédiée","14""","Pc portable Asus VivoBook 14 S413EQ ",2979,"https://www.tunisianet.com.tn/248846-large/pc-portable-asus-vivobook-14-s413eq-i7-11e-gen-16-go-mx350-2g-noir.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"Windows 11","Intel Core i5","Intel Core i5-11300H 11è Génération, 3.10 GHz up to 4.4 GHz, 8 Mo de mémoire cache","16 Go"," 1 To + 256 Go SSD","Nvidia GeForce","NVIDIA GeForce GTX 1650, 4 Go de mémoire dédiée","15.6""","PC Portable HP Pavilion Gaming 15-dk2014nk ",2979,"https://www.tunisianet.com.tn/242984-large/pc-portable-hp-pavilion-gaming-15-dk2014nk-i7-11e-gen-16-go-gtx-1650-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Intel Core i5-11400H, 11è Génération, up to 4.5 GHz, 12 Mo de mémoire cache","40 Go","512 Go SSD","Nvidia GeForce","Nvidia Geforce MX330, 2 Go de Mémoire Dédiée","15.6""","Pc portable Asus VivoBook X515JP ",2978,"https://www.tunisianet.com.tn/250992-large/pc-portable-asus-vivobook-x515jp-i7-10e-gen-40-go-mx330-2g-gris.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"FreeDos","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","8 Go","512 Go SSD","Graphique Intégrée","Intel Iris Xe","15.6""","PC Portable HP ProBook 450 G8 ",2959,"https://www.tunisianet.com.tn/257640-large/pc-portable-hp-probook-450-g8-i7-11e-gen-8-go-512-go-ssd.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","AMD Ryzen 5","AMD Ryzen 5 4500U, 2.3 GHz up to 4.0 GHz, 8 Mo total Cache L3","12 Go"," 1 To + 256 Go SSD","Nvidia GeForce","NVIDIA GeForce GTX 1650, 4 Go de mémoire dédiée","17.3""","PC Portable HP Pavilion Gaming 17-CD2010NK ",2953,"https://www.tunisianet.com.tn/245481-large/pc-portable-hp-pavilion-gaming-17-cd2010nk-i5-11e-gen-12-go-gtx-1650-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","16 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050, 4 Go de mémoire dédiée","15.6""","Pc portable HP Pavilion Gaming 15-dk2010nk ",2949,"https://www.tunisianet.com.tn/241490-large/pc-portable-hp-pavilion-gaming-15-dk2010nk-i5-11e-gen-16-go-rtx-3050-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i5","Intel Core i5-1145G7, 11è Génération, up to 4.4 Ghz, 8 Mo de mémoire cache","32 Go"," 1 To + 256 Go SSD","Nvidia GeForce","NVIDIA GeForce GTX 1650, 4 Go de mémoire dédiée","15.6""","Pc portable HP Pavilion Gaming 15-ec2014nk ",2945,"https://www.tunisianet.com.tn/242188-large/pc-portable-hp-pavilion-gaming-15-ec2014nk-ryzen-7-5800h-32-go-gtx-1650-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i7","Intel Core i7-11370H, 3.3 GHz up to 4.8 GHz avec IPU, 12 Mo de mémoire cache","12 Go"," 1 To + 256 Go SSD","Nvidia GeForce","NVIDIA GeForce GTX 1650, 4 Go de mémoire dédiée","15.6""","PC Portable HP Pavilion Gaming 15-dk2014nk ",2939,"https://www.tunisianet.com.tn/242978-large/pc-portable-hp-pavilion-gaming-15-dk2014nk-i7-11e-gen-12-go-gtx-1650-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","AMD Ryzen 7","AMD Ryzen 7-5800H, Up To 4.4 Ghz, 16 Mo Total Cache","8 Go","256 Go SSD","Graphique Intégrée","Intel Iris Xe","15.6""","Pc Portable Dell Latitude 5520 ",2939,"https://www.tunisianet.com.tn/233508-large/pc-portable-dell-latitude-5520-i5-11e-gen-8-go-256-go-ssd-.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"FreeDos","Intel Core i5","Intel Core i5-11300H 11è Génération, 3.10 GHz up to 4.4 GHz, 8 Mo de mémoire cache","8 Go","512 Go SSD","Nvidia GeForce","Nvidia Geforce MX330, 2 Go de Mémoire Dédiée","15.6""","Pc portable Asus ExpertBook B1 B1500CE ",2935,"https://www.tunisianet.com.tn/237154-large/pc-portable-asus-expertbook-b1-b1500ce-i7-11e-gen-8-go-noir.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"Windows 10","Intel Core i5","Intel Core i5-11300H 11è Génération, 3.10 GHz up to 4.4 GHz, 8 Mo de mémoire cache","8 Go","256 Go SSD","AMD Radeon","AMD Radeon Graphics","13.3""","Pc Portable HP ENVY x360 13-ay0009nk",2929,"https://www.tunisianet.com.tn/258087-large/pc-portable-hp-envy-x360-13-ay0009nk-ryzen-5-4500u-8-go-256-go-ssd.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","24 Go","512 Go SSD","Graphique Intégrée","Intel Iris Xe Graphics","15.6""","PC Portable Asus ExpertBook B1 B1500CEA ",2908,"https://www.tunisianet.com.tn/251015-large/pc-portable-asus-expertbook-b1-b1500cea-i7-11e-gen-24-go-noir.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"FreeDos","Intel Core i5","Intel Core i7-1065G7, 1.30 GHz jusqu'à 3.90 GHz, 8 Mo de cache","24 Go","512 Go SSD","Nvidia GeForce","NVIDIA GeForce GTX 1650, 4 Go de mémoire dédiée","15.6""","Pc portable MSI Gaming GF63 Thin 11SC ",2905,"https://www.tunisianet.com.tn/240656-large/pc-portable-msi-gaming-gf63-thin-11sc-i5-11e-gen-24-go-gtx-1650-4g-sac-msi-essential-g34-16-offert.jpg","https://www.tunisianet.com.tn/img/m/339.jpg","MSI"
"Windows 11","Intel Core i7","Intel Core i7-11370H, 3.3 GHz up to 4.8 GHz avec IPU, 12 Mo de mémoire cache","8 Go"," 1 To + 256 Go SSD","Nvidia GeForce","NVIDIA GeForce GTX 1650, 4 Go de mémoire dédiée","17.3""","PC Portable HP Pavilion Gaming 17-CD2010NK ",2899,"https://www.tunisianet.com.tn/245476-large/pc-portable-hp-pavilion-gaming-17-cd2010nk-i5-11e-gen-8-go-gtx-1650-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","24 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050, 4 Go de mémoire dédiée","15.6""","Pc portable HP Pavilion Gaming 15-ec2002nk ",2897,"https://www.tunisianet.com.tn/235724-large/pc-portable-hp-pavilion-gaming-15-ec2002nk-ryzen-5-5600h-24-go-rtx-3050-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","AMD Ryzen 5","Processeur AMD Ryzen 5-5600H , up to 4.2 GHz , 16 Mo de mémoire cache","12 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050, 4 Go de mémoire dédiée","15.6""","Pc portable HP Pavilion Gaming 15-dk2010nk ",2895,"https://www.tunisianet.com.tn/241484-large/pc-portable-hp-pavilion-gaming-15-dk2010nk-i5-11e-gen-12-go-rtx-3050-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","8 Go"," 1 To + 256 Go SSD","Nvidia GeForce","NVIDIA GeForce GTX 1650, 4 Go de mémoire dédiée","15.6""","PC Portable HP Pavilion Gaming 15-dk2014nk ",2889,"https://www.tunisianet.com.tn/239163-large/pc-portable-hp-pavilion-gaming-15-dk2014nk-i7-11e-gen-8-go-gtx-1650-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i5","Intel Core i5-1145G7, 11è Génération, up to 4.4 Ghz, 8 Mo de mémoire cache","8 Go","256 Go SSD","Graphique Intégrée","Intel Iris Xe","15.6""","Pc Portable Dell Latitude 3520 ",2889,"https://www.tunisianet.com.tn/233321-large/pc-portable-dell-latitude-3520-i7-11e-gen-8-go-256-go-ssd.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"FreeDos","Intel Core i7","Intel Core i7-10870H, 10é Gén, 2.2 Ghz up to 5.0 Ghz, 16 Mo de mémoire cache","24 Go","256 Go SSD","Graphique Intégrée","Intel Iris Xe","15.6""","Pc Portable Dell Latitude 5520 ",2888,"https://www.tunisianet.com.tn/229645-large/pc-portable-dell-latitude-5520-i5-11e-gen-24-go-256-go-ssd-antivirus-bitdefender-internet-security.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"Windows 11","AMD Ryzen 5","Processeur AMD Ryzen 5-5600H , up to 4.2 GHz , 16 Mo de mémoire cache","24 Go","512 Go SSD","Graphique Intégrée","Intel Iris Xe Graphics","15.6""","Portable HP Pavilion x360 Convertible 15-er0003nk Tactile ",2885,"https://www.tunisianet.com.tn/249626-large/portable-hp-pavilion-x360-convertible-15-er0003nk-tactile-i5-11e-gen-24-go-silver.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i5","Intel Core i5-11300H 11è Génération, 3.10 GHz up to 4.4 GHz, 8 Mo de mémoire cache","24 Go"," 1 To + 256 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050 Ti, 4 Go de mémoire Dédiée","15.6""","Pc portable HP Pavilion Gaming 15-ec2013nk ",2874,"https://www.tunisianet.com.tn/241170-large/pc-portable-hp-pavilion-gaming-15-ec2013nk-ryzen-5-5600h-24-go-rtx-3050ti-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i5","Intel Core i5-1145G7, 11è Génération, up to 4.4 Ghz, 8 Mo de mémoire cache","32 Go"," 1 To + 256 Go SSD","Nvidia GeForce","NVIDIA GeForce GTX 1650, 4 Go de mémoire dédiée","15.6""","Pc portable HP Pavilion Gaming 15-dk2015nk ",2867,"https://www.tunisianet.com.tn/241130-large/pc-portable-hp-pavilion-gaming-15-dk2015nk-i5-11e-gen-32-go-gtx-1650-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","32 Go","512 Go SSD","Graphique Intégrée","Intel Iris X","15.6""","Pc Portable HP 15s-fq2000nk ",2865,"https://www.tunisianet.com.tn/198437-large/pc-portable-hp-15s-fq2000nk-i7-11e-gen-32-go-silver.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i5","Intel Core i5-1145G7, 11è Génération, up to 4.4 Ghz, 8 Mo de mémoire cache","16 Go","512 Go SSD","Nvidia GeForce","Nvidia Geforce MX350, 2 Go de Mémoire Dédiée","15.6""","Pc Portable Lenovo ThinkPad E15 Gen 2 ",2864,"https://www.tunisianet.com.tn/217806-large/pc-portable-lenovo-thinkpad-e15-gen-2-i5-11e-gen-16-go.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"Windows 11","Intel Core i5","Intel Core i5-11400H, 11è Génération, up to 4.5 GHz, 12 Mo de mémoire cache","24 Go"," 1 To + 256 Go SSD","Nvidia GeForce","NVIDIA GeForce GTX 1650, 4 Go de mémoire dédiée","15.6""","Pc portable HP Pavilion Gaming 15-ec2014nk ",2855,"https://www.tunisianet.com.tn/242184-large/pc-portable-hp-pavilion-gaming-15-ec2014nk-ryzen-7-5800h-24-go-gtx-1650-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Intel Core i5-11400H, 11è Génération, up to 4.5 GHz, 12 Mo de mémoire cache","8 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050, 4 Go de mémoire dédiée","15.6""","Pc portable HP Pavilion Gaming 15-dk2010nk ",2849,"https://www.tunisianet.com.tn/237053-large/pc-portable-hp-pavilion-gaming-15-dk2010nk-i5-11e-gen-8-go-rtx-3050-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","24 Go","512 Go SSD","Nvidia GeForce","Nvidia Geforce MX330, 2 Go de Mémoire Dédiée","15.6""","PC Portable Asus ExpertBook B1 B1500 ",2848,"https://www.tunisianet.com.tn/244549-large/pc-portable-asus-expertbook-b1-b1500-i5-11e-gen-24-go-mx330-2g-noir.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"FreeDos","Intel Core i7","Intel Core i7-11800H, 11éme Génération, 2.3 Ghz up to 4.6 Ghz, 24 Mo de mémoire cache","32 Go","512 Go SSD","Nvidia GeForce","NVIDIA GeForce GTX 1650, 4 Go de mémoire dédiée","15.6""","Pc portable Dell Gaming G15 5510 ",2843,"https://www.tunisianet.com.tn/229580-large/pc-portable-dell-gaming-g15-5510-i5-10e-gen-32-go-gtx-1650-4g.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"Windows 10","AMD Ryzen 7","AMD Ryzen 7-5800H, Up To 4.4 Ghz, 16 Mo Total Cache","20 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050, 4 Go de mémoire dédiée","15.6""","Pc portable HP Pavilion Gaming 15-ec2002nk ",2843,"https://www.tunisianet.com.tn/235720-large/pc-portable-hp-pavilion-gaming-15-ec2002nk-ryzen-5-5600h-20-go-rtx-3050-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i5","Intel Core i5-11300H 11è Génération, 3.10 GHz up to 4.4 GHz, 8 Mo de mémoire cache","20 Go","512 Go SSD","Graphique Intégrée","Intel Iris Xe Graphics","15.6""","Portable HP Pavilion x360 Convertible 15-er0003nk Tactile ",2822,"https://www.tunisianet.com.tn/249612-large/portable-hp-pavilion-x360-convertible-15-er0003nk-tactile-i5-11e-gen-20-go-silver.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i5","Intel Core i5-11400H, 11è Génération, up to 4.5 GHz, 12 Mo de mémoire cache","16 Go","512 Go SSD","Nvidia GeForce","NVIDIA GeForce GTX 1650, 4 Go de mémoire dédiée","15.6""","Pc portable MSI Gaming GF63 Thin 11SC ",2815,"https://www.tunisianet.com.tn/240651-large/pc-portable-msi-gaming-gf63-thin-11sc-i5-11e-gen-16-go-gtx-1650-4g.jpg","https://www.tunisianet.com.tn/img/m/339.jpg","MSI"
"Windows 11","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","20 Go"," 1 To + 256 Go SSD","Nvidia GeForce","NVIDIA GeForce GTX 1650, 4 Go de mémoire dédiée","15.6""","Pc portable HP Pavilion Gaming 15-ec2014nk ",2809,"https://www.tunisianet.com.tn/243658-large/pc-portable-hp-pavilion-gaming-15-ec2014nk-ryzen-7-5800h-20-go-gtx-1650-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i7","Intel Core i7-11370H, 3.3 GHz up to 4.8 GHz avec IPU, 12 Mo de mémoire cache","16 Go","512 Go SSD","Graphique Intégrée","Intel Iris Xe Graphics","15.6""","PC Portable Asus ExpertBook B1 B1500CEA ",2808,"https://www.tunisianet.com.tn/251007-large/pc-portable-asus-expertbook-b1-b1500cea-i7-11e-gen-16-go-noir.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"Windows 11","AMD Ryzen 7","AMD Ryzen 7-5800H, Up To 4.4 Ghz, 16 Mo Total Cache","8 Go"," 1 To + 256 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050, 4 Go de mémoire dédiée","15.6""","Pc portable HP Pavilion Gaming 15-ec2012nk ",2799,"https://www.tunisianet.com.tn/241136-large/pc-portable-hp-pavilion-gaming-15-ec2012nk-ryzen-7-5800h-8-go-rtx-3050-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Intel Core i5-11400H, 11è Génération, up to 4.5 GHz, 12 Mo de mémoire cache","16 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050, 4 Go de mémoire dédiée","15.6""","Pc portable HP Pavilion Gaming 15-ec2002nk ",2798,"https://www.tunisianet.com.tn/235716-large/pc-portable-hp-pavilion-gaming-15-ec2002nk-ryzen-5-5600h-16-go-rtx-3050-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i5","Intel Core i5-11300H 11è Génération, 3.10 GHz up to 4.4 GHz, 8 Mo de mémoire cache","24 Go","512 Go SSD","Nvidia GeForce","AMD Radeon Graphics","15.6""","Pc Portable Lenovo ThinkPad E15 Gen 3 ",2798,"https://www.tunisianet.com.tn/255864-large/pc-portable-lenovo-thinkpad-e15-gen-3-ryzen-7-24-go.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"Windows 10","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","24 Go","512 Go SSD","Nvidia GeForce","Nvidia Geforce MX330, 2 Go de Mémoire Dédiée","15.6""","PCPortable Asus VivoBook X515EP ",2798,"https://www.tunisianet.com.tn/241467-large/pc-portable-asus-vivobook-x515ep-i7-11e-gen-24-go-silver.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"FreeDos","Intel Core i7","Intel Core i7-11800H, 11éme Génération, 2.3 Ghz up to 4.6 Ghz, 24 Mo de mémoire cache","16 Go","256 Go SSD","Graphique Intégrée","Intel Iris Xe","15.6""","Pc Portable Dell Latitude 5520 ",2798,"https://www.tunisianet.com.tn/229636-large/pc-portable-dell-latitude-5520-i5-11e-gen-16-go-256-go-ssd-antivirus-bitdefender-internet-security.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"FreeDos","Intel Core i5","Intel Core i5-1135G7, 11è Génération, 2.4 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","8 Go","256 Go SSD","Graphique Intégrée","Intel Iris X","15.6""","PC Portable HP ProBook 450 G8 ",2789,"https://www.tunisianet.com.tn/214359-large/pc-portable-hp-probook-450-g8-i7-11e-gen-8-go.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","Intel Core i7","Intel Core i7-11370H, 3.3 GHz up to 4.8 GHz avec IPU, 12 Mo de mémoire cache","16 Go","512 Go SSD","Graphique Intégrée","Intel Iris Xe Graphics","15.6""","Portable HP Pavilion x360 Convertible 15-er0003nk Tactile ",2786,"https://www.tunisianet.com.tn/249596-large/portable-hp-pavilion-x360-convertible-15-er0003nk-tactile-i5-11e-gen-16-go-silver.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","12 Go","512 Go SSD","Nvidia GeForce","NVIDIA GeForce GTX 1650, 4 Go de mémoire dédiée","15.6""","Pc portable MSI Gaming GF63 Thin 11SC ",2779,"https://www.tunisianet.com.tn/240646-large/pc-portable-msi-gaming-gf63-thin-11sc-i5-11e-gen-12-go-gtx-1650-4g.jpg","https://www.tunisianet.com.tn/img/m/339.jpg","MSI"
"FreeDos","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","24 Go","256 Go SSD","Graphique Intégrée","Intel Iris Xe","14""","Pc Portable Dell Latitude 5420 ",2778,"https://www.tunisianet.com.tn/233542-large/pc-portable-dell-latitude-5420-i5-11e-gen-24-go-256-go-ssd.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"Windows 11","Intel Core i5","Intel Core i5-11400H, 11è Génération, up to 4.5 GHz, 12 Mo de mémoire cache","24 Go"," 1 To + 256 Go SSD","Nvidia GeForce","NVIDIA GeForce GTX 1650, 4 Go de mémoire dédiée","15.6""","Pc portable HP Pavilion Gaming 15-dk2015nk ",2777,"https://www.tunisianet.com.tn/241124-large/pc-portable-hp-pavilion-gaming-15-dk2015nk-i5-11e-gen-24-go-gtx-1650-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i7","Intel Core i7-11800H, 11éme Génération, 2.3 Ghz up to 4.6 Ghz, 24 Mo de mémoire cache","16 Go","512 Go SSD","Nvidia GeForce","Nvidia Geforce MX330, 2 Go de Mémoire Dédiée","15.6""","PC Portable Asus ExpertBook B1 B1500 ",2768,"https://www.tunisianet.com.tn/244541-large/pc-portable-asus-expertbook-b1-b1500-i5-11e-gen-8-go-mx330-2g-noir.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"Windows 10","Intel Core i5","Intel Core i5-11400H, 11è Génération, up to 4.5 GHz, 12 Mo de mémoire cache","24 Go","512 Go SSD","Graphique Intégrée","Intel Iris X","15.6""","Pc Portable HP 15s-fq2000nk ",2765,"https://www.tunisianet.com.tn/198433-large/pc-portable-hp-15s-fq2000nk-i7-11e-gen-24-go-silver.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","32 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce GTX 1650 Ti, 4 Go de mémoire dédiée","15.6""","PC Portable Lenovo IdeaPad Gaming 3 15IMH05 ",2763,"https://www.tunisianet.com.tn/257911-large/pc-portable-lenovo-ideapad-gaming-3-15imh05-i5-10e-gen-32-go-512-go-ssd-bleu-souris-gaming-lenovo-m100-offerte.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"FreeDos","Intel Core i5","Intel Core i5-11300H 11è Génération, 3.10 GHz up to 4.4 GHz, 8 Mo de mémoire cache","12 Go","256 Go SSD","Graphique Intégrée","Intel Iris Xe","15.6""","Pc Portable Dell Latitude 5520 ",2759,"https://www.tunisianet.com.tn/229627-large/pc-portable-dell-latitude-5520-i5-11e-gen-12-go-256-go-ssd-antivirus-bitdefender-internet-security.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"Windows 11","Intel Core i5","Intel Core i5-11300H 11è Génération, 3.10 GHz up to 4.4 GHz, 8 Mo de mémoire cache","16 Go"," 1 To + 256 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050 Ti, 4 Go de mémoire Dédiée","15.6""","Pc portable HP Pavilion Gaming 15-ec2013nk ",2759,"https://www.tunisianet.com.tn/241140-large/pc-portable-hp-pavilion-gaming-15-ec2013nk-ryzen-5-5600h-16-go-rtx-3050ti-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 11","AMD Ryzen 5","AMD Ryzen 5-5500U, Up to 4 GHz, 11 Mo de mémoire cache totale","16 Go"," 1 To + 256 Go SSD","Nvidia GeForce","NVIDIA GeForce GTX 1650, 4 Go de mémoire dédiée","15.6""","Pc portable HP Pavilion Gaming 15-ec2014nk ",2755,"https://www.tunisianet.com.tn/242180-large/pc-portable-hp-pavilion-gaming-15-ec2014nk-ryzen-7-5800h-16-go-gtx-1650-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","12 Go","512 Go SSD","Graphique Intégrée","Intel Iris Xe Graphics","15.6""","PC Portable Asus ExpertBook B1 B1500CEA ",2754,"https://www.tunisianet.com.tn/250999-large/pc-portable-asus-expertbook-b1-b1500cea-i7-11e-gen-12-go-noir.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"Windows 10","Intel Core i5","Intel Core i5-11300H 11è Génération, 3.10 GHz up to 4.4 GHz, 8 Mo de mémoire cache","12 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce RTX 3050, 4 Go de mémoire dédiée","15.6""","Pc portable HP Pavilion Gaming 15-ec2002nk ",2753,"https://www.tunisianet.com.tn/235712-large/pc-portable-hp-pavilion-gaming-15-ec2002nk-ryzen-5-5600h-12-go-rtx-3050-4g.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"FreeDos","Intel Core i7","Intel Core i7-11370H, 3.3 GHz up to 4.8 GHz avec IPU, 12 Mo de mémoire cache","24 Go","256 Go SSD","Nvidia GeForce","nVIDIA GeForce MX450, 2 Go de mémoire dédiée","15.6""","Pc Portable Dell Latitude 3520 ",2747,"https://www.tunisianet.com.tn/233614-large/pc-portable-dell-latitude-3520-i5-11e-gen-24-go-mx450-2g-256-go-ssd.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"FreeDos","Intel Core i7","Intel Core i7-11370H, 3.3 GHz up to 4.8 GHz avec IPU, 12 Mo de mémoire cache","8 Go","512 Go SSD","Nvidia GeForce","Nvidia Geforce MX350, 2 Go de Mémoire Dédiée","15.6""","Pc Portable Lenovo ThinkPad E15 Gen 2 ",2739,"https://www.tunisianet.com.tn/217731-large/pc-portable-lenovo-thinkpad-e15-gen-2-i5-11e-gen-8-go.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"Windows 10","Intel Core i7","Intel Core i7-1165G7, 11éme Génération, 2.8 Ghz up to 4.7 Ghz, 12 Mo de mémoire cache","24 Go","512 Go SSD","Nvidia GeForce","Nvidia Geforce MX330, 2 Go de Mémoire Dédiée","15.6""","Pc portable Asus VivoBook X515JP ",2738,"https://www.tunisianet.com.tn/250987-large/pc-portable-asus-vivobook-x515jp-i7-10e-gen-24-go-mx330-2g-gris.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"Windows 10","Intel Core i5","Intel Core i5-11400H, 11è Génération, up to 4.5 GHz, 12 Mo de mémoire cache","16 Go","512 Go SSD","Graphique Intégrée","Intel Iris Xe","15.6""","Portable HP Pavilion x360 15-er0001nk Tactile ",2738,"https://www.tunisianet.com.tn/217409-large/portable-hp-pavilion-x360-15-er0001nk-tactile-i5-11e-gen-16-go-silver.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
