"SysExp","Processeur","RefProcesseur","Mémoire","Disque Dur","Carte Graphique","Réf Carte graphique","Taille Ecran","NomDuProduit","Prix","ImageDuProduit","Fabricant","NomDuFabricant"
"Windows 10","Intel Core i5","Intel Core i5-1145G7, 11è Génération, up to 4.4 Ghz, 8 Mo de mémoire cache","8 Go","256 Go SSD","Graphique Intégrée","Intel Iris Xe","14""","Pc portable Asus ExpertBook B1 B1400CE-EK1060R ",2499,"https://www.tunisianet.com.tn/231760-large/pc-portable-asus-expertbook-b1-b1400ce-ek1060r-i5-11e-gen-8-go-win-10-pro-noir.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
"Windows 11","AMD Ryzen 7","AMD Ryzen R7-4800H, 2.9 Ghz up to 4.2 Ghz, 8 Mo de mémoire cache","8 Go","256 Go SSD","Graphique Intégrée","Intel Iris Xe","Full HD","PC Portable HP Pavilion x360 Convertible 14-dy0012nk ",2495,"https://www.tunisianet.com.tn/244998-large/pc-portable-hp-pavilion-x360-convertible-14-dy0012nk-i5-11e-gen-8-go-256-go-ssd-win11-gold.jpg","https://www.tunisianet.com.tn/img/m/6.jpg","HP"
"Windows 10","Intel Core i7","Intel Core i7-11370H, 3.3 GHz up to 4.8 GHz avec IPU, 12 Mo de mémoire cache","12 Go","512 Go SSD","Nvidia GeForce","Nvidia GeForce GTX 1650 Ti, 4 Go de mémoire dédiée","15.6""","PC Portable Lenovo IdeaPad Gaming 3 15IMH05 ",2484,"https://www.tunisianet.com.tn/257888-large/pc-portable-lenovo-ideapad-gaming-3-15imh05-i5-10e-gen-12-go-512-go-ssd-bleu-souris-gaming-lenovo-m100-offerte.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"FreeDos","Intel Core i7","Intel Core i7-1185G7, up to 4.8 Ghz , 12 Mo de mémoire cache","24 Go","512 Go SSD","Nvidia GeForce","Nvidia Geforce MX350, 2 Go de Mémoire Dédiée","15.6""","Pc Portable Dell Vostro 15 3510 ",2484,"https://www.tunisianet.com.tn/235219-large/pc-portable-dell-vostro-15-3510-i5-11e-gen-24-go-512-go-ssd.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"FreeDos","Intel Core i7","Intel Core i7-1185G7, up to 4.8 Ghz , 12 Mo de mémoire cache","16 Go"," 1 To + 256 Go SSD","Nvidia GeForce","Nvidia GeForce GTX 1650 Ti, 4 Go de mémoire dédiée","15.6""","PC Portable Lenovo IdeaPad Gaming 3 15IMH05 ",2474,"https://www.tunisianet.com.tn/254960-large/pc-portable-lenovo-ideapad-gaming-3-15imh05-i5-10e-gen-16-go-bleu-souris-gaming-lenovo-m100-offerte.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"FreeDos","Intel Core i7","Intel Core i7-1185G7, up to 4.8 Ghz , 12 Mo de mémoire cache","16 Go"," 1 To + 256 Go SSD","Nvidia GeForce","Nvidia GeForce GTX 1650 Ti, 4 Go de mémoire dédiée","15.6""","PC Portable Lenovo IdeaPad Gaming 3 15IMH05 ",2474,"https://www.tunisianet.com.tn/253761-large/pc-portable-lenovo-ideapad-gaming-3-15imh05-i5-10e-gen-16-go-noir-souris-gaming-lenovo-m100-offerte.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"FreeDos","Intel Core i5","Intel Core i5-12500H, 3.3 GHz up to 4.5 GHz, 18 Mo de mémoire cache","12 Go","256 Go SSD","Nvidia GeForce","NVIDIA GeForce GTX 1650, 4 Go de mémoire dédiée","15.6""","PC Portable Dell Gaming G15 5510 ",2465,"https://www.tunisianet.com.tn/243422-large/pc-portable-dell-gaming-g15-5510-i5-10e-gen-12-go-gtx-1650-4g-256-go-ssd.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"Windows 11","AMD Ryzen 5","Processeur AMD Ryzen 5-5600H , up to 4.2 GHz , 16 Mo de mémoire cache","8 Go","Intel Iris Xe Graphics","Lecteur de cartes","WiFi - Bluetooth","Webcam avec micro","Pc portable Lenovo Ideapad Flex 5 14ITL05 ",2455,"https://www.tunisianet.com.tn/246191-large/pc-portable-lenovo-ideapad-flex-5-14itl05-i5-11e-gen-8-go-bleu.jpg","https://www.tunisianet.com.tn/img/m/3.jpg","Lenovo"
"FreeDos","Intel Core i5","Intel Core i5-11400H, 11è Génération, up to 4.5 GHz, 12 Mo de mémoire cache","16 Go","1 To","Nvidia GeForce","Nvidia Geforce MX350, 2 Go de Mémoire Dédiée","15.6""","Pc Portable Dell Vostro 15 3510 ",2454,"https://www.tunisianet.com.tn/243338-large/pc-portable-dell-vostro-15-3510-i7-11e-gen-16-go-mx350-2g.jpg","https://www.tunisianet.com.tn/img/m/29.jpg","Dell"
"FreeDos","Intel Core i5","Intel Core i5-11300H 11è Génération, 3.10 GHz up to 4.4 GHz, 8 Mo de mémoire cache","24 Go","256 Go SSD","Graphique Intégrée","Intel Iris Xe Graphics","15.6""","PC Portable Asus ExpertBook B1 B1500CE ",2448,"https://www.tunisianet.com.tn/250931-large/pc-portable-asus-expertbook-b1-b1500ce-i5-11e-gen-24-go-256-go-ssd-noir.jpg","https://www.tunisianet.com.tn/img/m/79.jpg","Asus"
